PLOT,TREATMENT,REP,DISTREP,SAMP,DATE,PLANTDIST,NRSTHT,POADIST,POAHT,Mortality
10,OTC,104GC,4,0,15/05/2010,3,1.5,12,3,0
11,CTL,111GC,1,0,15/05/2010,10,1.6,12,2,0
11,CTL,111GC,2,0,15/05/2010,2,2,15,8,0
11,CTL,111GC,3,0,15/05/2010,7,3.7,13,9,0
11,CTL,111GC,4,0,15/05/2010,11,0.9,NA,NA,0
11,CTL,112GC,1,0,15/05/2010,4,6.8,9,3,0
11,CTL,112GC,2,0,15/05/2010,4,4,4,4,0
11,CTL,112GC,3,0,15/05/2010,5,7,5,7,0
11,CTL,112GC,4,0,15/05/2010,11,2,11,2,0
11,CTL,113GC,1,0,15/05/2010,4,5.1,6,9,0
11,CTL,113GC,2,0,15/05/2010,8,5.5,8.5,4,0
11,CTL,113GC,3,0,15/05/2010,2,2,NA,NA,0
11,CTL,113GC,4,0,15/05/2010,1,7.5,9,3,0
11,CTL,114GC,1,0,15/05/2010,1,2,12,3.5,0
11,CTL,114GC,2,0,15/05/2010,8,3,9,3.5,0
11,CTL,114GC,3,0,15/05/2010,9,5,8.5,5,0
11,CTL,114GC,4,0,15/05/2010,3,3,8.5,3,0
12,OTC,121GC,1,0,15/05/2010,1,1.8,12.5,6,0
12,OTC,121GC,2,0,15/05/2010,1,2,10,8,0
12,OTC,121GC,3,0,15/05/2010,9,7.5,13,5.5,0
12,OTC,121GC,4,0,15/05/2010,5,5.6,NA,NA,0
12,OTC,122GC,1,0,15/05/2010,10,4.5,14,9.5,0
12,OTC,122GC,2,0,15/05/2010,4,2.5,4,2.5,0
12,OTC,122GC,3,0,15/05/2010,6,4.6,6,4.6,0
12,OTC,122GC,4,0,15/05/2010,6,2.5,5.5,2.5,0
12,OTC,123GC,1,0,15/05/2010,3,2.6,4,4.5,0
12,OTC,123GC,2,0,15/05/2010,7,3.5,8.5,4,0
12,OTC,123GC,3,0,15/05/2010,9,4.5,9.5,3,0
12,OTC,123GC,4,0,15/05/2010,6,2.9,13.5,4,0
12,OTC,124GC,1,0,15/05/2010,2,2,12,7,0
12,OTC,124GC,2,0,15/05/2010,8,0.9,10,5,0
12,OTC,124GC,3,0,15/05/2010,7,1.5,10,5,0
12,OTC,124GC,4,0,15/05/2010,5,3,NA,NA,0
13,OTC,131GC,1,0,15/05/2010,14,2,NA,NA,0
13,OTC,131GC,2,0,15/05/2010,15,1.5,20,8,0
13,OTC,131GC,3,0,15/05/2010,8,3.7,NA,NA,0
13,OTC,131GC,4,0,15/05/2010,6,3.6,10,4,0
13,OTC,132GC,1,0,15/05/2010,4,1,17,3.5,0
13,OTC,132GC,2,0,15/05/2010,3,1.5,10,7.5,0
13,OTC,132GC,3,0,15/05/2010,2,4.1,9,11,0
13,OTC,132GC,4,0,15/05/2010,3,1.5,7,4,0
13,OTC,133GC,1,0,15/05/2010,6,12,5.5,12,0
13,OTC,133GC,2,0,15/05/2010,15,6.6,NA,NA,0
13,OTC,133GC,3,0,15/05/2010,7,5.2,11,6.2,0
13,OTC,133GC,4,0,15/05/2010,3,2.5,13,4,0
13,OTC,134GC,1,0,15/05/2010,3,1.5,NA,NA,0
13,OTC,134GC,2,0,15/05/2010,5,5,5,5,0
13,OTC,134GC,3,0,15/05/2010,7,2,7,4.5,0
13,OTC,134GC,4,0,15/05/2010,4,3,5.5,2.5,0
14,CTL,141GC,1,0,15/05/2010,7,1.7,11,2.3,0
14,CTL,141GC,2,0,15/05/2010,7,2,11,5.6,0
14,CTL,141GC,3,0,15/05/2010,12,1.8,15,1.8,0
14,CTL,141GC,4,0,15/05/2010,6,0.5,5.5,0.5,0
14,CTL,142GC,1,0,15/05/2010,10,3,10,3,0
14,CTL,142GC,2,0,15/05/2010,4,3.5,4,3.5,0
14,CTL,142GC,3,0,15/05/2010,8,3.5,7.5,3.5,0
14,CTL,142GC,4,0,15/05/2010,5,5,5,5,0
14,CTL,143GC,1,0,15/05/2010,5,1,14.5,5.5,0
14,CTL,143GC,2,0,15/05/2010,7,1.5,15,2.5,0
14,CTL,143GC,3,0,15/05/2010,5,3.8,4.5,3.8,0
14,CTL,143GC,4,0,15/05/2010,3,0.5,7,4.5,0
14,CTL,144GC,1,0,15/05/2010,7,0.7,9.5,3,0
14,CTL,144GC,2,0,15/05/2010,6,0.7,9,2.7,0
14,CTL,144GC,3,0,15/05/2010,5,2.3,NA,NA,0
14,CTL,144GC,4,0,15/05/2010,9,2.4,9,2.4,0
15,OTC,151GC,1,0,15/05/2010,3,3.5,2.5,3.5,0
15,OTC,151GC,2,0,15/05/2010,13,2,12.5,2,0
15,OTC,151GC,3,0,15/05/2010,10,5,10,5,0
15,OTC,151GC,4,0,15/05/2010,NA,NA,NA,NA,0
15,OTC,152GC,1,0,15/05/2010,1,4.5,5,6,0
15,OTC,152GC,2,0,15/05/2010,6,5.5,6,5.5,0
15,OTC,152GC,3,0,15/05/2010,5,6,5,6,0
15,OTC,152GC,4,0,15/05/2010,3,0.5,NA,NA,0
15,OTC,153GC,1,0,15/05/2010,4,2.5,3.5,2.5,0
15,OTC,153GC,2,0,15/05/2010,4,4,9,3,0
15,OTC,153GC,3,0,15/05/2010,6,5,6,5,0
15,OTC,153GC,4,0,15/05/2010,7,1.5,NA,NA,0
15,OTC,154GC,1,0,15/05/2010,3,2.5,2.5,2.5,0
15,OTC,154GC,2,0,15/05/2010,7,6,6.5,6,0
15,OTC,154GC,3,0,15/05/2010,10,3.8,13.5,2,0
15,OTC,154GC,4,0,15/05/2010,2,2,10,3.5,0
16,CTL,161GC,1,0,15/05/2010,15,1.8,1.7,0.5,0
16,CTL,161GC,2,0,15/05/2010,2,0.5,14,1.1,0
16,CTL,161GC,3,0,15/05/2010,22,2,21.5,2,0
16,CTL,161GC,4,0,15/05/2010,13,0.5,NA,NA,0
16,CTL,162GC,1,0,15/05/2010,1,3,0.8,3,0
16,CTL,162GC,2,0,15/05/2010,5,4,4.5,4,0
16,CTL,162GC,3,0,15/05/2010,1,2.5,1,2.5,0
16,CTL,162GC,4,0,15/05/2010,1,2.5,0.8,2.5,0
16,CTL,163GC,1,0,15/05/2010,5,2.5,5,2.5,0
16,CTL,163GC,2,0,15/05/2010,9,5,9,5,0
16,CTL,163GC,3,0,15/05/2010,10,0.7,NA,NA,0
16,CTL,163GC,4,0,15/05/2010,9,4.2,9,4.2,0
16,CTL,164GC,1,0,15/05/2010,5,2,NA,NA,0
16,CTL,164GC,2,0,15/05/2010,6,5,5.5,5,0
16,CTL,164GC,3,0,15/05/2010,1,0.5,12.5,1,0
16,CTL,164GC,4,0,15/05/2010,8,5,8,5,0
17,OTC,171GC,1,0,15/05/2010,1,0.5,16,4.8,0
17,OTC,171GC,2,0,15/05/2010,5,3.2,5,3.2,0
17,OTC,171GC,3,0,15/05/2010,5,4.5,6.5,3.5,0
17,OTC,171GC,4,0,15/05/2010,3,2,2.5,2,0
17,OTC,172GC,1,0,15/05/2010,7,3.6,7,3.6,0
17,OTC,172GC,2,0,15/05/2010,2,1.7,11,2.7,0
17,OTC,172GC,3,0,15/05/2010,10,11,10,11,0
17,OTC,172GC,4,0,15/05/2010,7,7,NA,NA,0
17,OTC,173GC,1,0,15/05/2010,1,5.1,15,3.8,0
17,OTC,173GC,2,0,15/05/2010,3,2.5,3,2.5,0
17,OTC,173GC,3,0,15/05/2010,7,2.8,NA,NA,0
17,OTC,173GC,4,0,15/05/2010,9,5,12.5,3,0
17,OTC,174GC,1,0,15/05/2010,1,1.3,NA,NA,0
17,OTC,174GC,2,0,15/05/2010,10,1.8,15,6,0
17,OTC,174GC,3,0,15/05/2010,12,5.5,11.5,5.5,0
17,OTC,174GC,4,0,15/05/2010,9,5,9,5,0
18,CTL,181GC,1,0,15/05/2010,NA,NA,NA,NA,1
18,CTL,181GC,2,0,15/05/2010,NA,NA,NA,NA,1
18,CTL,181GC,3,0,15/05/2010,NA,NA,NA,NA,1
18,CTL,181GC,4,0,15/05/2010,NA,NA,NA,NA,1
18,CTL,182GC,1,0,15/05/2010,5,2,10,4,0
18,CTL,182GC,2,0,15/05/2010,7,5.4,6.5,5.4,0
18,CTL,182GC,3,0,15/05/2010,10,2.5,15,3.5,0
18,CTL,182GC,4,0,15/05/2010,7,7.5,6.5,7.5,0
18,CTL,183GC,1,0,15/05/2010,8,3,11,2,0
18,CTL,183GC,2,0,15/05/2010,4,0.5,8.5,6.5,0
18,CTL,183GC,3,0,15/05/2010,5,1.5,4.5,1.5,0
18,CTL,183GC,4,0,15/05/2010,4,1,4,3.1,0
18,CTL,184GC,1,0,15/05/2010,15,1.1,NA,NA,0
18,CTL,184GC,2,0,15/05/2010,2,1.5,6,3.5,0
18,CTL,184GC,3,0,15/05/2010,9,4,10,3,0
18,CTL,184GC,4,0,15/05/2010,5,3,5,3,0
19,CTL,191GC,1,0,15/05/2010,5,1.5,7,4.5,0
19,CTL,191GC,2,0,15/05/2010,4,4,4,4,0
19,CTL,191GC,3,0,15/05/2010,6,3.3,5.5,3.3,0
19,CTL,191GC,4,0,15/05/2010,7,1,7,1,0
19,CTL,192GC,1,0,15/05/2010,4,0.5,5.5,2,0
19,CTL,192GC,2,0,15/05/2010,2,1,NA,NA,0
19,CTL,192GC,3,0,15/05/2010,8,4.5,8,4.5,0
19,CTL,192GC,4,0,15/05/2010,9,4.5,9,4.5,0
19,CTL,193GC,1,0,15/05/2010,5,4.5,8,3,0
19,CTL,193GC,2,0,15/05/2010,5,1.5,4.5,1.5,0
19,CTL,193GC,3,0,15/05/2010,11,2.7,11,2.7,0
19,CTL,193GC,4,0,15/05/2010,0,2,4,3.3,0
19,CTL,194GC,1,0,15/05/2010,4,1.5,11.5,0.5,0
19,CTL,194GC,2,0,15/05/2010,2,1,2,1,0
19,CTL,194GC,3,0,15/05/2010,5,2,5,2,0
19,CTL,194GC,4,0,15/05/2010,4,1.5,3.5,1.5,0
20,OTC,201GC,1,0,15/05/2010,5,2.5,8,3,0
20,OTC,201GC,2,0,15/05/2010,2,1.5,NA,NA,0
20,OTC,201GC,3,0,15/05/2010,7,12,6.5,12,0
20,OTC,201GC,4,0,15/05/2010,4,2.5,14.5,1,0
20,OTC,202GC,1,0,15/05/2010,13,3,19,2.5,0
20,OTC,202GC,2,0,15/05/2010,11,2,11,2,0
20,OTC,202GC,3,0,15/05/2010,7,1.5,7,1.5,0
20,OTC,202GC,4,0,15/05/2010,10,2,17,5,0
