SITE,PLOT,TRT,TRT2,SPP,REP,DATE,SAMP,Ht,FBD,BD,Mortality,Notes
ITEXJ,1,CTL,COMP,GREAUS,13GC,22/11/2010,1,31.01,1.26,1.54,0,
ITEXJ,1,CTL,COMP,GREAUS,13GC,25/04/2011,2,28.83,1.43,1.33,0,
ITEXJ,1,CTL,COMP,GREAUS,13GC,30/10/2011,3,29.95,1.32,1.16,0,
ITEXJ,1,CTL,COMP,GREAUS,13GC,8/05/2012,4,40.66,1.5,1.15,0,
ITEXJ,1,CTL,COMP,GREAUS,13GC,5/11/2012,5,45.96,1.18,1.22,0,
ITEXJ,1,CTL,COMP,GREAUS,13GC,13/04/2013,6,52.5,1.32,1.07,0,near CRAJAM
ITEXJ,1,CTL,NORMAL,PHESQU,13PH,15/05/2010,0,82.5,1.8,1.4,0,
ITEXJ,1,CTL,NORMAL,PHESQU,13PH,22/11/2010,1,94.82,2.29,1.57,0,
ITEXJ,1,CTL,NORMAL,PHESQU,13PH,25/04/2011,2,92.19,2.71,2.29,0,
ITEXJ,1,CTL,NORMAL,PHESQU,13PH,30/10/2011,3,94.43,2.59,2.36,0,
ITEXJ,1,CTL,NORMAL,PHESQU,13PH,8/05/2012,4,98.08,2.64,2.33,0,
ITEXJ,1,CTL,NORMAL,PHESQU,13PH,5/11/2012,5,98.29,2.41,1.81,0,
ITEXJ,1,CTL,NORMAL,PHESQU,13PH,13/04/2013,6,93.37,2.67,1.35,0,
ITEXJ,1,CTL,NORMAL,PROCUN,13PR,15/05/2010,0,47.6,1.3,1.4,0,
ITEXJ,1,CTL,NORMAL,PROCUN,13PR,22/11/2010,1,70.16,1.46,1.06,0,
ITEXJ,1,CTL,NORMAL,PROCUN,13PR,25/04/2011,2,97.6,2.33,2.47,0,
ITEXJ,1,CTL,NORMAL,PROCUN,13PR,30/10/2011,3,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PROCUN,13PR,8/05/2012,4,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PROCUN,13PR,5/11/2012,5,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,PROCUN,13PR,13/04/2013,6,NA,NA,NA,1,
ITEXJ,1,CTL,NORMAL,ASTTRY,14A,15/05/2010,0,78.2,1.9,1.6,0,
